x,y,date_single
-99.11819,19.47576,2018-12-04
-99.11819,19.47576,2018-12-04
-99.12794,19.48969,2019-01-03
-99.07334,19.3167,2019-01-04
-99.02823,19.34434,2019-01-04
-99.14423,19.37541,2019-01-04
-99.16169,19.32159,2018-02-12
-99.12473,19.309,2018-01-04
-99.1624,19.321,2018-02-12
-99.09563,19.47959,2019-01-04
-99.14013,19.3804,2019-01-04
-99.11888,19.23414,2019-01-03
-99.11888,19.23414,2019-01-03
-99.19114,19.30254,2019-01-04
-99.14758,19.44385,2019-01-04
-99.1141,19.4626,2018-11-07
-99.21907,19.48141,2019-01-04
-99.14378,19.44452,2018-12-22
-99.06298,19.3003,2019-01-04
-99.06298,19.3003,2019-01-04
-99.18575,19.48233,2019-01-05
-99.09303,19.37913,2019-01-05
-99.14469,19.43457,2019-01-05
-99.13656,19.41937,2018-12-26
-99.16577,19.26405,2019-01-02
-99.16577,19.26405,2019-01-02
-99.17746,19.33236,2019-01-05
-99.04017,19.32548,2018-11-16
-99.04017,19.32548,2018-11-16
-99.12787,19.43229,2019-01-05
-99.11986,19.45236,2019-01-05
-99.17561,19.38956,2019-01-05
-99.14554,19.4928,2019-01-04
-99.173,19.43729,2019-01-05
-99.12316,19.24775,2019-01-04
-99.18093,19.29521,2019-01-04
-99.12393,19.4213,2019-01-05
-99.15418,19.44368,2019-01-05
-99.12176,19.47255,2019-01-05
-99.17099,19.4508,2019-01-04
-99.17099,19.4508,2019-01-04
-99.16228,19.42899,2019-01-05
-99.18969,19.30276,2018-01-05
-99.05704,19.29077,2019-01-05
-99.24018,19.38143,2018-09-28
-99.23736,19.35604,2018-09-23
-99.12168,19.47289,2019-01-06
-99.25295,19.37451,2018-10-28
-99.25295,19.37451,2018-10-28
-99.07068,19.48364,2019-01-06
-99.16821,19.40719,2019-01-05
-99.16821,19.40719,2019-01-05
-99.25658,19.358,2018-01-05
-99.00643,19.35604,2018-11-28
-99.24979,19.32666,2019-01-06
-99.04221,19.32783,2019-01-06
-99.18556,19.36157,2019-01-05
-99.18556,19.36157,2019-01-05
-99.06382,19.35293,2018-11-08
-99.04029,19.33969,2019-01-07
-99.04029,19.33969,2019-01-07
